RelativeCompactness,SurfaceArea,WallArea,RoofArea,OverallHeight,GlazingArea,HeatingLoad,CoolingLoad,GlazingAreaDistribution<3?,Orientation<4?
0.98,514.5,294,110.25,7,0.25,28.67,29.43,0,1
0.98,514.5,294,110.25,7,0.25,28.56,29.78,0,1
0.98,514.5,294,110.25,7,0.25,28.17,30.1,0,0
0.98,514.5,294,110.25,7,0.25,28.63,30.19,0,0
0.9,563.5,318.5,122.5,7,0.25,31.63,36.35,0,1
0.9,563.5,318.5,122.5,7,0.25,32.4,35.1,0,1
0.9,563.5,318.5,122.5,7,0.25,32.68,32.83,0,0
0.9,563.5,318.5,122.5,7,0.25,32.29,32.46,0,0
0.86,588,294,147,7,0.25,28.4,33.52,0,1
0.86,588,294,147,7,0.25,29.4,32.93,0,1
0.86,588,294,147,7,0.25,29.43,28.38,0,0
0.86,588,294,147,7,0.25,29.07,29.82,0,0
0.82,612.5,318.5,147,7,0.25,24.7,28.77,0,1
0.82,612.5,318.5,147,7,0.25,25.48,27.76,0,1
0.82,612.5,318.5,147,7,0.25,25.37,26.95,0,0
0.82,612.5,318.5,147,7,0.25,25.17,26.41,0,0
0.79,637,343,147,7,0.25,39.04,45.13,0,1
0.79,637,343,147,7,0.25,38.35,43.66,0,1
0.79,637,343,147,7,0.25,39.81,37.76,0,0
0.79,637,343,147,7,0.25,39.83,36.87,0,0
0.76,661.5,416.5,122.5,7,0.25,35.99,36.07,0,1
0.76,661.5,416.5,122.5,7,0.25,36.59,36.44,0,1
0.76,661.5,416.5,122.5,7,0.25,35.64,37.28,0,0
0.76,661.5,416.5,122.5,7,0.25,36.52,37.29,0,0
0.74,686,245,220.5,3.5,0.25,11.8,14.49,0,1
0.74,686,245,220.5,3.5,0.25,12.03,13.79,0,1
0.74,686,245,220.5,3.5,0.25,11.98,14.72,0,0
0.74,686,245,220.5,3.5,0.25,11.69,14.76,0,0
0.71,710.5,269.5,220.5,3.5,0.25,12.41,14.92,0,1
0.71,710.5,269.5,220.5,3.5,0.25,12.28,14.74,0,1
0.71,710.5,269.5,220.5,3.5,0.25,12.1,15.57,0,0
0.71,710.5,269.5,220.5,3.5,0.25,12.19,14.94,0,0
0.69,735,294,220.5,3.5,0.25,12.34,14.92,0,1
0.69,735,294,220.5,3.5,0.25,12.46,14.38,0,1
0.69,735,294,220.5,3.5,0.25,12.31,15.44,0,0
0.69,735,294,220.5,3.5,0.25,12.12,15.17,0,0
0.66,759.5,318.5,220.5,3.5,0.25,12.97,15.53,0,1
0.66,759.5,318.5,220.5,3.5,0.25,13.01,15.8,0,1
0.66,759.5,318.5,220.5,3.5,0.25,12.74,16.14,0,0
0.66,759.5,318.5,220.5,3.5,0.25,12.84,16.26,0,0
0.64,784,343,220.5,3.5,0.25,16.83,19.87,0,1
0.64,784,343,220.5,3.5,0.25,16.93,20.03,0,1
0.64,784,343,220.5,3.5,0.25,16.66,20.46,0,0
0.64,784,343,220.5,3.5,0.25,16.86,20.28,0,0
0.62,808.5,367.5,220.5,3.5,0.25,13.91,14.89,0,1
0.62,808.5,367.5,220.5,3.5,0.25,14.34,14.96,0,1
0.62,808.5,367.5,220.5,3.5,0.25,13.95,14.89,0,0
0.62,808.5,367.5,220.5,3.5,0.25,13.99,14.35,0,0
0.98,514.5,294,110.25,7,0.25,28.7,29.61,0,1
0.98,514.5,294,110.25,7,0.25,28.55,29.59,0,1
0.98,514.5,294,110.25,7,0.25,28.15,30.19,0,0
0.98,514.5,294,110.25,7,0.25,28.62,30.12,0,0
0.9,563.5,318.5,122.5,7,0.25,32.67,32.12,0,1
0.9,563.5,318.5,122.5,7,0.25,31.69,37.12,0,1
0.9,563.5,318.5,122.5,7,0.25,32.07,36.16,0,0
0.9,563.5,318.5,122.5,7,0.25,33.28,33.16,0,0
0.86,588,294,147,7,0.25,29.47,29.45,0,1
0.86,588,294,147,7,0.25,28.42,34.19,0,1
0.86,588,294,147,7,0.25,29.08,33.93,0,0
0.86,588,294,147,7,0.25,29.88,28.31,0,0
0.82,612.5,318.5,147,7,0.25,25.66,26.3,0,1
0.82,612.5,318.5,147,7,0.25,24.96,29.43,0,1
0.82,612.5,318.5,147,7,0.25,25.43,28.76,0,0
0.82,612.5,318.5,147,7,0.25,26,27.34,0,0
0.79,637,343,147,7,0.25,40,36.26,0,1
0.79,637,343,147,7,0.25,38.84,45.48,0,1
0.79,637,343,147,7,0.25,38.33,44.16,0,0
0.79,637,343,147,7,0.25,40.12,37.26,0,0
0.76,661.5,416.5,122.5,7,0.25,36.95,37.2,0,1
0.76,661.5,416.5,122.5,7,0.25,36.45,36.76,0,1
0.76,661.5,416.5,122.5,7,0.25,36.81,37.05,0,0
0.76,661.5,416.5,122.5,7,0.25,36.26,37.51,0,0
0.74,686,245,220.5,3.5,0.25,12.32,14.92,0,1
0.74,686,245,220.5,3.5,0.25,12.3,15.24,0,1
0.74,686,245,220.5,3.5,0.25,12.18,15.03,0,0
0.74,686,245,220.5,3.5,0.25,12.43,15.35,0,0
0.71,710.5,269.5,220.5,3.5,0.25,12.36,14.67,0,1
0.71,710.5,269.5,220.5,3.5,0.25,12.49,15.09,0,1
0.71,710.5,269.5,220.5,3.5,0.25,12.17,15.2,0,0
0.71,710.5,269.5,220.5,3.5,0.25,12.28,15.64,0,0
0.69,735,294,220.5,3.5,0.25,12.91,15.37,0,1
0.69,735,294,220.5,3.5,0.25,12.95,15.73,0,1
0.69,735,294,220.5,3.5,0.25,12.67,15.83,0,0
0.69,735,294,220.5,3.5,0.25,12.86,16.13,0,0
0.66,759.5,318.5,220.5,3.5,0.25,12.95,15.95,0,1
0.66,759.5,318.5,220.5,3.5,0.25,13,15.59,0,1
0.66,759.5,318.5,220.5,3.5,0.25,12.86,16.17,0,0
0.66,759.5,318.5,220.5,3.5,0.25,12.92,16.14,0,0
0.64,784,343,220.5,3.5,0.25,16.99,19.65,0,1
0.64,784,343,220.5,3.5,0.25,16.69,19.76,0,1
0.64,784,343,220.5,3.5,0.25,16.56,20.37,0,0
0.64,784,343,220.5,3.5,0.25,16.62,19.9,0,0
0.62,808.5,367.5,220.5,3.5,0.25,14.33,15.41,0,1
0.62,808.5,367.5,220.5,3.5,0.25,14.61,15.56,0,1
0.62,808.5,367.5,220.5,3.5,0.25,14.61,15.07,0,0
0.62,808.5,367.5,220.5,3.5,0.25,14.65,15.38,0,0
0.98,514.5,294,110.25,7,0.25,28.69,29.53,0,1
0.98,514.5,294,110.25,7,0.25,28.58,29.77,0,1
0.98,514.5,294,110.25,7,0.25,28.15,30,0,0
0.98,514.5,294,110.25,7,0.25,28.61,30.2,0,0
0.9,563.5,318.5,122.5,7,0.25,33.13,32.25,0,1
0.9,563.5,318.5,122.5,7,0.25,32.31,32,0,1
0.9,563.5,318.5,122.5,7,0.25,31.53,37.19,0,0
0.9,563.5,318.5,122.5,7,0.25,32.46,35.62,0,0
0.86,588,294,147,7,0.25,29.71,28.02,0,1
0.86,588,294,147,7,0.25,29.09,29.43,0,1
0.86,588,294,147,7,0.25,28.31,34.15,0,0
0.86,588,294,147,7,0.25,29.39,33.47,0,0
0.82,612.5,318.5,147,7,0.25,25.7,26.53,0,1
0.82,612.5,318.5,147,7,0.25,25.17,26.08,0,1
0.82,612.5,318.5,147,7,0.25,24.6,29.31,0,0
0.82,612.5,318.5,147,7,0.25,25.49,28.14,0,0
0.79,637,343,147,7,0.25,39.89,37.54,0,1
0.79,637,343,147,7,0.25,39.83,36.66,0,1
0.79,637,343,147,7,0.25,39.01,45.28,0,0
0.79,637,343,147,7,0.25,38.65,43.73,0,0
0.76,661.5,416.5,122.5,7,0.25,35.69,36.93,0,1
0.76,661.5,416.5,122.5,7,0.25,36.64,37.01,0,1
0.76,661.5,416.5,122.5,7,0.25,36.06,35.73,0,0
0.76,661.5,416.5,122.5,7,0.25,36.7,36.15,0,0
0.74,686,245,220.5,3.5,0.25,12.12,14.48,0,1
0.74,686,245,220.5,3.5,0.25,11.67,14.58,0,1
0.74,686,245,220.5,3.5,0.25,11.64,14.81,0,0
0.74,686,245,220.5,3.5,0.25,12.02,14.03,0,0
0.71,710.5,269.5,220.5,3.5,0.25,12.27,15.27,0,1
0.71,710.5,269.5,220.5,3.5,0.25,12.19,14.71,0,1
0.71,710.5,269.5,220.5,3.5,0.25,12.25,15.23,0,0
0.71,710.5,269.5,220.5,3.5,0.25,12.27,14.97,0,0
0.69,735,294,220.5,3.5,0.25,12.47,15.14,0,1
0.69,735,294,220.5,3.5,0.25,12.12,14.97,0,1
0.69,735,294,220.5,3.5,0.25,12.18,15.22,0,0
0.69,735,294,220.5,3.5,0.25,12.47,14.6,0,0
0.66,759.5,318.5,220.5,3.5,0.25,12.93,15.83,0,1
0.66,759.5,318.5,220.5,3.5,0.25,12.82,16.03,0,1
0.66,759.5,318.5,220.5,3.5,0.25,12.78,15.8,0,0
0.66,759.5,318.5,220.5,3.5,0.25,13.02,16.06,0,0
0.64,784,343,220.5,3.5,0.25,16.73,20.13,0,1
0.64,784,343,220.5,3.5,0.25,16.86,20.01,0,1
0.64,784,343,220.5,3.5,0.25,16.76,20.19,0,0
0.64,784,343,220.5,3.5,0.25,16.92,20.29,0,0
0.62,808.5,367.5,220.5,3.5,0.25,13.68,15.19,0,1
0.62,808.5,367.5,220.5,3.5,0.25,13.99,14.61,0,1
0.62,808.5,367.5,220.5,3.5,0.25,14.16,14.61,0,0
0.62,808.5,367.5,220.5,3.5,0.25,13.86,14.75,0,0
0.98,514.5,294,110.25,7,0.4,32.26,33.37,1,1
0.98,514.5,294,110.25,7,0.4,32.26,33.34,1,1
0.98,514.5,294,110.25,7,0.4,32.49,32.83,1,0
0.98,514.5,294,110.25,7,0.4,32.53,33.04,1,0
0.9,563.5,318.5,122.5,7,0.4,36.47,39.28,1,1
0.9,563.5,318.5,122.5,7,0.4,37.24,36.38,1,1
0.9,563.5,318.5,122.5,7,0.4,36.66,35.92,1,0
0.9,563.5,318.5,122.5,7,0.4,35.96,40.99,1,0
0.86,588,294,147,7,0.4,31.89,35.99,1,1
0.86,588,294,147,7,0.4,32.39,30.66,1,1
0.86,588,294,147,7,0.4,32.09,31.7,1,0
0.86,588,294,147,7,0.4,31.29,36.73,1,0
0.82,612.5,318.5,147,7,0.4,29.22,31.71,1,1
0.82,612.5,318.5,147,7,0.4,29.91,29.13,1,1
0.82,612.5,318.5,147,7,0.4,29.53,28.99,1,0
0.82,612.5,318.5,147,7,0.4,28.65,33.54,1,0
0.79,637,343,147,7,0.4,41.4,45.29,1,1
0.79,637,343,147,7,0.4,42.62,39.07,1,1
0.79,637,343,147,7,0.4,42.5,38.35,1,0
0.79,637,343,147,7,0.4,41.67,46.94,1,0
0.76,661.5,416.5,122.5,7,0.4,40.78,39.55,1,1
0.76,661.5,416.5,122.5,7,0.4,39.97,40.85,1,1
0.76,661.5,416.5,122.5,7,0.4,40.71,40.63,1,0
0.76,661.5,416.5,122.5,7,0.4,40.43,39.48,1,0
0.74,686,245,220.5,3.5,0.4,14.52,16.94,1,1
0.74,686,245,220.5,3.5,0.4,14.61,17.25,1,1
0.74,686,245,220.5,3.5,0.4,14.5,17.03,1,0
0.74,686,245,220.5,3.5,0.4,14.55,17.25,1,0
0.71,710.5,269.5,220.5,3.5,0.4,14.51,17.1,1,1
0.71,710.5,269.5,220.5,3.5,0.4,14.6,17.51,1,1
0.71,710.5,269.5,220.5,3.5,0.4,14.5,17.12,1,0
0.71,710.5,269.5,220.5,3.5,0.4,14.58,17.47,1,0
0.69,735,294,220.5,3.5,0.4,14.51,16.5,1,1
0.69,735,294,220.5,3.5,0.4,14.7,17,1,1
0.69,735,294,220.5,3.5,0.4,14.42,16.87,1,0
0.69,735,294,220.5,3.5,0.4,14.42,17.2,1,0
0.66,759.5,318.5,220.5,3.5,0.4,15.23,18.14,1,1
0.66,759.5,318.5,220.5,3.5,0.4,15.23,18.03,1,1
0.66,759.5,318.5,220.5,3.5,0.4,15.23,18.14,1,0
0.66,759.5,318.5,220.5,3.5,0.4,15.23,17.95,1,0
0.64,784,343,220.5,3.5,0.4,19.52,22.72,1,1
0.64,784,343,220.5,3.5,0.4,19.36,22.73,1,1
0.64,784,343,220.5,3.5,0.4,19.48,22.72,1,0
0.64,784,343,220.5,3.5,0.4,19.42,22.53,1,0
0.62,808.5,367.5,220.5,3.5,0.4,15.09,17.2,1,1
0.62,808.5,367.5,220.5,3.5,0.4,17.17,17.21,1,1
0.62,808.5,367.5,220.5,3.5,0.4,17.14,17.15,1,0
0.62,808.5,367.5,220.5,3.5,0.4,17.14,17.2,1,0
0.98,514.5,294,110.25,7,0.4,32.82,32.96,1,1
0.98,514.5,294,110.25,7,0.4,32.71,33.13,1,1
0.98,514.5,294,110.25,7,0.4,32.24,33.94,1,0
0.98,514.5,294,110.25,7,0.4,32.72,33.78,1,0
0.9,563.5,318.5,122.5,7,0.4,35.84,38.35,1,1
0.9,563.5,318.5,122.5,7,0.4,36.57,35.39,1,1
0.9,563.5,318.5,122.5,7,0.4,36.06,34.94,1,0
0.9,563.5,318.5,122.5,7,0.4,35.69,40.66,1,0
0.86,588,294,147,7,0.4,32.48,35.48,1,1
0.86,588,294,147,7,0.4,32.74,30.53,1,1
0.86,588,294,147,7,0.4,32.13,32.28,1,0
0.86,588,294,147,7,0.4,31.64,36.86,1,0
0.82,612.5,318.5,147,7,0.4,28.95,30.34,1,1
0.82,612.5,318.5,147,7,0.4,29.49,27.93,1,1
0.82,612.5,318.5,147,7,0.4,28.64,28.95,1,0
0.82,612.5,318.5,147,7,0.4,28.01,32.92,1,0
0.79,637,343,147,7,0.4,41.64,45.59,1,1
0.79,637,343,147,7,0.4,43.1,39.41,1,1
0.79,637,343,147,7,0.4,42.74,38.84,1,0
0.79,637,343,147,7,0.4,41.92,48.03,1,0
0.76,661.5,416.5,122.5,7,0.4,40.78,39.48,1,1
0.76,661.5,416.5,122.5,7,0.4,40.15,40.4,1,1
0.76,661.5,416.5,122.5,7,0.4,40.57,40.47,1,0
0.76,661.5,416.5,122.5,7,0.4,40.42,39.7,1,0
0.74,686,245,220.5,3.5,0.4,14.54,16.43,1,1
0.74,686,245,220.5,3.5,0.4,14.45,16.93,1,1
0.74,686,245,220.5,3.5,0.4,14.18,16.99,1,0
0.74,686,245,220.5,3.5,0.4,14.5,17.03,1,0
0.71,710.5,269.5,220.5,3.5,0.4,14.7,16.77,1,1
0.71,710.5,269.5,220.5,3.5,0.4,14.66,17.37,1,1
0.71,710.5,269.5,220.5,3.5,0.4,14.4,17.27,1,0
0.71,710.5,269.5,220.5,3.5,0.4,14.71,17.51,1,0
0.69,735,294,220.5,3.5,0.4,14.75,16.44,1,1
0.69,735,294,220.5,3.5,0.4,14.71,17.01,1,1
0.69,735,294,220.5,3.5,0.4,14.33,17.23,1,0
0.69,735,294,220.5,3.5,0.4,14.62,17.22,1,0
0.66,759.5,318.5,220.5,3.5,0.4,15.34,17.85,1,1
0.66,759.5,318.5,220.5,3.5,0.4,15.29,17.89,1,1
0.66,759.5,318.5,220.5,3.5,0.4,15.09,18.36,1,0
0.66,759.5,318.5,220.5,3.5,0.4,15.3,18.15,1,0
0.64,784,343,220.5,3.5,0.4,19.2,21.72,1,1
0.64,784,343,220.5,3.5,0.4,18.88,22.07,1,1
0.64,784,343,220.5,3.5,0.4,18.9,22.09,1,0
0.64,784,343,220.5,3.5,0.4,19.12,21.93,1,0
0.62,808.5,367.5,220.5,3.5,0.4,16.76,17.36,1,1
0.62,808.5,367.5,220.5,3.5,0.4,17.23,17.38,1,1
0.62,808.5,367.5,220.5,3.5,0.4,17.26,16.86,1,0
0.62,808.5,367.5,220.5,3.5,0.4,17.15,16.99,1,0
0.98,514.5,294,110.25,7,0.4,32.82,32.78,0,1
0.98,514.5,294,110.25,7,0.4,32.69,33.24,0,1
0.98,514.5,294,110.25,7,0.4,32.23,33.86,0,0
0.98,514.5,294,110.25,7,0.4,32.75,34,0,0
0.9,563.5,318.5,122.5,7,0.4,34.24,37.26,0,1
0.9,563.5,318.5,122.5,7,0.4,34.95,35.04,0,1
0.9,563.5,318.5,122.5,7,0.4,35.05,33.82,0,0
0.9,563.5,318.5,122.5,7,0.4,34.29,33.31,0,0
0.86,588,294,147,7,0.4,31.28,35.22,0,1
0.86,588,294,147,7,0.4,32.12,34.7,0,1
0.86,588,294,147,7,0.4,32.05,30.11,0,0
0.86,588,294,147,7,0.4,31.84,31.6,0,0
0.82,612.5,318.5,147,7,0.4,28.67,32.43,0,1
0.82,612.5,318.5,147,7,0.4,29.67,30.65,0,1
0.82,612.5,318.5,147,7,0.4,29.47,29.77,0,0
0.82,612.5,318.5,147,7,0.4,28.91,29.64,0,0
0.79,637,343,147,7,0.4,41.26,46.44,0,1
0.79,637,343,147,7,0.4,41.3,44.18,0,1
0.79,637,343,147,7,0.4,42.49,38.81,0,0
0.79,637,343,147,7,0.4,42.08,38.23,0,0
0.76,661.5,416.5,122.5,7,0.4,39.32,38.17,0,1
0.76,661.5,416.5,122.5,7,0.4,39.84,38.48,0,1
0.76,661.5,416.5,122.5,7,0.4,38.89,39.66,0,0
0.76,661.5,416.5,122.5,7,0.4,39.68,40.1,0,0
0.74,686,245,220.5,3.5,0.4,13.97,16.08,0,1
0.74,686,245,220.5,3.5,0.4,14.22,15.39,0,1
0.74,686,245,220.5,3.5,0.4,14.1,16.57,0,0
0.74,686,245,220.5,3.5,0.4,13.78,16.6,0,0
0.71,710.5,269.5,220.5,3.5,0.4,14.07,16.11,0,1
0.71,710.5,269.5,220.5,3.5,0.4,14.03,15.47,0,1
0.71,710.5,269.5,220.5,3.5,0.4,13.94,16.7,0,0
0.71,710.5,269.5,220.5,3.5,0.4,13.86,16.1,0,0
0.69,735,294,220.5,3.5,0.4,14.32,16.35,0,1
0.69,735,294,220.5,3.5,0.4,14.56,15.84,0,1
0.69,735,294,220.5,3.5,0.4,14.33,16.99,0,0
0.69,735,294,220.5,3.5,0.4,14.08,17.02,0,0
0.66,759.5,318.5,220.5,3.5,0.4,15.16,17.04,0,1
0.66,759.5,318.5,220.5,3.5,0.4,15.18,17.63,0,1
0.66,759.5,318.5,220.5,3.5,0.4,14.72,18.1,0,0
0.66,759.5,318.5,220.5,3.5,0.4,14.9,18.22,0,0
0.64,784,343,220.5,3.5,0.4,18.48,20.78,0,1
0.64,784,343,220.5,3.5,0.4,18.71,20.72,0,1
0.64,784,343,220.5,3.5,0.4,18.48,21.54,0,0
0.64,784,343,220.5,3.5,0.4,18.46,21.53,0,0
0.62,808.5,367.5,220.5,3.5,0.4,16.47,16.9,0,1
0.62,808.5,367.5,220.5,3.5,0.4,16.35,17.14,0,1
0.62,808.5,367.5,220.5,3.5,0.4,16.55,16.56,0,0
0.62,808.5,367.5,220.5,3.5,0.4,16.74,16,0,0
0.98,514.5,294,110.25,7,0.4,32.85,32.95,0,1
0.98,514.5,294,110.25,7,0.4,32.67,33.06,0,1
0.98,514.5,294,110.25,7,0.4,32.21,33.95,0,0
0.98,514.5,294,110.25,7,0.4,32.74,33.88,0,0
0.9,563.5,318.5,122.5,7,0.4,36.45,33.98,0,1
0.9,563.5,318.5,122.5,7,0.4,35.73,39.92,0,1
0.9,563.5,318.5,122.5,7,0.4,35.4,39.22,0,0
0.9,563.5,318.5,122.5,7,0.4,36.57,36.1,0,0
0.86,588,294,147,7,0.4,32.38,31.53,0,1
0.86,588,294,147,7,0.4,31.66,36.2,0,1
0.86,588,294,147,7,0.4,32.15,36.21,0,0
0.86,588,294,147,7,0.4,32.75,31,0,0
0.82,612.5,318.5,147,7,0.4,28.93,28.2,0,1
0.82,612.5,318.5,147,7,0.4,28.05,32.35,0,1
0.82,612.5,318.5,147,7,0.4,28.64,31.14,0,0
0.82,612.5,318.5,147,7,0.4,29.52,28.43,0,0
0.79,637,343,147,7,0.4,42.77,38.33,0,1
0.79,637,343,147,7,0.4,41.73,47.59,0,1
0.79,637,343,147,7,0.4,41.32,46.23,0,0
0.79,637,343,147,7,0.4,42.96,39.56,0,0
0.76,661.5,416.5,122.5,7,0.4,40.68,40.36,0,1
0.76,661.5,416.5,122.5,7,0.4,40.4,39.67,0,1
0.76,661.5,416.5,122.5,7,0.4,40.6,39.85,0,0
0.76,661.5,416.5,122.5,7,0.4,40.11,40.77,0,0
0.74,686,245,220.5,3.5,0.4,14.37,16.61,0,1
0.74,686,245,220.5,3.5,0.4,14.48,16.74,0,1
0.74,686,245,220.5,3.5,0.4,14.32,16.9,0,0
0.74,686,245,220.5,3.5,0.4,14.44,17.32,0,0
0.71,710.5,269.5,220.5,3.5,0.4,14.6,16.85,0,1
0.71,710.5,269.5,220.5,3.5,0.4,14.7,17.2,0,1
0.71,710.5,269.5,220.5,3.5,0.4,14.47,17.23,0,0
0.71,710.5,269.5,220.5,3.5,0.4,14.66,17.74,0,0
0.69,735,294,220.5,3.5,0.4,14.54,16.81,0,1
0.69,735,294,220.5,3.5,0.4,14.62,16.88,0,1
0.69,735,294,220.5,3.5,0.4,14.53,16.9,0,0
0.69,735,294,220.5,3.5,0.4,14.71,17.39,0,0
0.66,759.5,318.5,220.5,3.5,0.4,15.34,17.86,0,1
0.66,759.5,318.5,220.5,3.5,0.4,15.29,17.82,0,1
0.66,759.5,318.5,220.5,3.5,0.4,15.09,18.36,0,0
0.66,759.5,318.5,220.5,3.5,0.4,15.3,18.24,0,0
0.64,784,343,220.5,3.5,0.4,19.06,21.68,0,1
0.64,784,343,220.5,3.5,0.4,19.13,21.54,0,1
0.64,784,343,220.5,3.5,0.4,19,22.25,0,0
0.64,784,343,220.5,3.5,0.4,18.84,22.49,0,0
0.62,808.5,367.5,220.5,3.5,0.4,16.44,17.1,0,1
0.62,808.5,367.5,220.5,3.5,0.4,16.9,16.79,0,1
0.62,808.5,367.5,220.5,3.5,0.4,16.94,16.58,0,0
0.62,808.5,367.5,220.5,3.5,0.4,16.77,16.79,0,0
0.98,514.5,294,110.25,7,0.4,32.84,32.88,0,1
0.98,514.5,294,110.25,7,0.4,32.72,33.23,0,1
0.98,514.5,294,110.25,7,0.4,32.21,33.76,0,0
0.98,514.5,294,110.25,7,0.4,32.73,34.01,0,0
0.9,563.5,318.5,122.5,7,0.4,35.67,33.94,0,1
0.9,563.5,318.5,122.5,7,0.4,35.01,33.14,0,1
0.9,563.5,318.5,122.5,7,0.4,34.72,38.79,0,0
0.9,563.5,318.5,122.5,7,0.4,35.24,37.27,0,0
0.86,588,294,147,7,0.4,32.31,29.69,0,1
0.86,588,294,147,7,0.4,31.81,31.2,0,1
0.86,588,294,147,7,0.4,31.12,36.26,0,0
0.86,588,294,147,7,0.4,32.06,35.71,0,0
0.82,612.5,318.5,147,7,0.4,30,29.93,0,1
0.82,612.5,318.5,147,7,0.4,29.5,29.56,0,1
0.82,612.5,318.5,147,7,0.4,29.06,33.84,0,0
0.82,612.5,318.5,147,7,0.4,29.92,32.54,0,0
0.79,637,343,147,7,0.4,42.11,38.56,0,1
0.79,637,343,147,7,0.4,41.96,37.7,0,1
0.79,637,343,147,7,0.4,41.09,47.01,0,0
0.79,637,343,147,7,0.4,40.79,44.87,0,0
0.76,661.5,416.5,122.5,7,0.4,38.82,39.37,0,1
0.76,661.5,416.5,122.5,7,0.4,39.72,39.8,0,1
0.76,661.5,416.5,122.5,7,0.4,39.31,37.79,0,0
0.76,661.5,416.5,122.5,7,0.4,39.86,38.18,0,0
0.74,686,245,220.5,3.5,0.4,14.41,16.69,0,1
0.74,686,245,220.5,3.5,0.4,14.19,16.62,0,1
0.74,686,245,220.5,3.5,0.4,14.17,16.94,0,0
0.74,686,245,220.5,3.5,0.4,14.39,16.7,0,0
0.71,710.5,269.5,220.5,3.5,0.4,12.43,15.59,0,1
0.71,710.5,269.5,220.5,3.5,0.4,12.63,14.58,0,1
0.71,710.5,269.5,220.5,3.5,0.4,12.76,15.33,0,0
0.71,710.5,269.5,220.5,3.5,0.4,12.42,15.31,0,0
0.69,735,294,220.5,3.5,0.4,14.12,16.63,0,1
0.69,735,294,220.5,3.5,0.4,14.28,15.87,0,1
0.69,735,294,220.5,3.5,0.4,14.37,16.54,0,0
0.69,735,294,220.5,3.5,0.4,14.21,16.74,0,0
0.66,759.5,318.5,220.5,3.5,0.4,14.96,17.64,0,1
0.66,759.5,318.5,220.5,3.5,0.4,14.92,17.79,0,1
0.66,759.5,318.5,220.5,3.5,0.4,14.92,17.55,0,0
0.66,759.5,318.5,220.5,3.5,0.4,15.16,18.06,0,0
0.64,784,343,220.5,3.5,0.4,17.69,20.82,0,1
0.64,784,343,220.5,3.5,0.4,18.19,20.21,0,1
0.64,784,343,220.5,3.5,0.4,18.16,20.71,0,0
0.64,784,343,220.5,3.5,0.4,17.88,21.4,0,0
0.62,808.5,367.5,220.5,3.5,0.4,16.54,16.88,0,1
0.62,808.5,367.5,220.5,3.5,0.4,16.44,17.11,0,1
0.62,808.5,367.5,220.5,3.5,0.4,16.48,16.61,0,0
0.62,808.5,367.5,220.5,3.5,0.4,16.64,16.03,0,0
